ISBN,title,author,,,,,
1965,The New Manager's Handbook,Morey Stettner ,,,,,
1950,Fun with Advanced Mathematics,Lewis Galoo,,,,,
1952,Fun with Further Mathematics,Lewis Galoo,,,,,
1953,Learn how to be a Demolition Expert,Lewis Galoo,,,,,
1954,Learn how to be a Dolphin Trainer,Lewis Galoo,,,,,
1955,Learn how to be an Astronaut,Lewis Galoo,,,,,
1956,Learn how to be a Supermodel,Lewis Galoo,,,,,
1951,Serious Mathematics,Lewis Galoo,,,,,
1944,The Elements of Style," William Strunk Jr.,  E. B. White,  William Strunk",,,,,
1946,Selenium Simplified - Automated Web Testing with Java and Selenium RC 2nd edition,Alan Richardson,,,,,
1945,Selenium Simplified - Automated Web Testing with Java and Selenium RC,Alan Richardson,,,,,
1511,Software Testing:  An ISEB Foundation,"Brian Hambling, Peter Morgan, Angelina Samaroo, Geoff Thompson, Peter Williams",,,,,
1921,Beginning Android 4 Games Development,"Mario Zechner, Robert Green ",,,,,
1986,Pro ASP.NET MVC 4,Adam Freeman,,,,,
1966,Build Your Own Database Driven Website Using PHP and MySQL,Kevin Yank ,,,,,
1964,Peer Reviews in Software,Karl Wiegers,,,,,
1525,Perl in a Nutshell (1st ed),"Ellen Siever, Stephen Spainhour, Nathan Patwardhan",,,,,
1959,Effortless Flex 4 Development,Larry Ullman,,,,,
1911,"Growing object-oriented software, guided by tests", Steve Freeman,,,,,
1947,Data Protection & PCI Compliance for Dummies,Richard Moulds,,,,,
1939,Foundations of F# (Expert's Voice in .Net),Robert. Pickering,,,,,
2008,Microsoft Project 2013 ,Ben Howard,,,,,
1905,Continuous Delivery,Jez Humble,,,,,
1899,Agile product management with Scrum, Roman Pichler,,,,,
1895,"Joe Celko's SQL Puzzles and Answers, Second Edition (The Morgan Kaufmann Series in Data Management Systems)",Joe Celko,,,,,
1901,jQuery cookbook, jQuery Community Experts,,,,,
1962,"Building Web, Cloud, and Mobile Solutions with F#",Daniel Mohl,,,,,
1912,Special Edition Using Microsoft Commerce Server 2002," Don Jones,  Mark D. Scott",,,,,
1984,How to Win Friends and Influence People ,Dale Carnegie ,,,,,
1938,Purely functional data structures,Chris Okasaki,,,,,
1963,Bulletproof Web Desig,Dan Cederholm ,,,,,
1916,The Big Book of Me, Nina Grunfeld,,,,,
1937,The Big Book of Me, Nina Grunfeld,,,,,
